"unit","unit_type","is_seeded","season","rainfall","pred_COSMO"
99,24,1,"2017-2018",26.1366666666667,11.94542
100,24,1,"2017-2018",6.27666666666667,11.8389133333333
101,24,1,"2017-2018",3.64666666666667,2.76896766666667
105,24,0,"2018-2019",15.3566666666667,2.53798543
106,24,0,"2018-2019",1.2,1.74908838
108,24,0,"2018-2019",0.133333333333333,0.00257159933333333
109,24,0,"2018-2019",36.26,35.0572333333333
111,24,0,"2018-2019",4.34,4.06226266666667
112,24,0,"2018-2019",17.11,7.23400333333333
114,24,0,"2018-2019",0.13,1.20244233333333
117,24,0,"2018-2019",46.0666666666667,23.8790366666667
118,24,0,"2018-2019",21.6866666666667,19.2422333333333
120,24,0,"2018-2019",28.5566666666667,22.887
123,24,0,"2018-2019",11.6266666666667,10.29445
124,24,0,"2018-2019",13.36,10.42154
125,24,0,"2018-2019",11.2133333333333,7.48250333333333
130,24,0,"2018-2019",1.81,1.28639140666667
131,24,0,"2018-2019",11.1833333333333,11.4892933333333
132,24,0,"2018-2019",28.31,36.1367
133,24,0,"2018-2019",10.4733333333333,10.3341766666667
137,24,0,"2018-2019",8.42,2.41198603333333
138,24,0,"2018-2019",2.55666666666667,2.23402333333333
139,24,0,"2018-2019",42.1833333333333,39.4085333333333
141,24,0,"2018-2019",28.3233333333333,43.3332
142,24,0,"2018-2019",17.3566666666667,19.6685533333333
144,24,0,"2018-2019",1.00666666666667,2.2177136
103,24,1,"2018-2019",0.963333333333333,3.2703825
104,24,1,"2018-2019",1.45,6.41631666666667
107,24,1,"2018-2019",0.34,1.68815853666667
110,24,1,"2018-2019",27.8866666666667,36.0097
113,24,1,"2018-2019",11.9,11.5535933333333
115,24,1,"2018-2019",5.30666666666667,4.25398666666667
116,24,1,"2018-2019",29.4066666666667,22.2971333333333
119,24,1,"2018-2019",1.07333333333333,1.01810113333333
121,24,1,"2018-2019",19.0166666666667,21.0677
122,24,1,"2018-2019",36.13,28.6978333333333
126,24,1,"2018-2019",11.3433333333333,12.0646933333333
127,24,1,"2018-2019",13.4966666666667,7.99982
128,24,1,"2018-2019",23.5933333333333,8.31696333333333
129,24,1,"2018-2019",17.0833333333333,15.63141
134,24,1,"2018-2019",5.30666666666667,0.594493366666667
135,24,1,"2018-2019",9.87,12.57301
136,24,1,"2018-2019",1.93,3.13023966666667
140,24,1,"2018-2019",1.84333333333333,2.14465133333333
143,24,1,"2018-2019",0.203333333333333,1.67568122666667
145,24,1,"2018-2019",9.57666666666667,7.40663
146,24,1,"2018-2019",5.98,4.54541
147,24,1,"2018-2019",3.33,10.1534333333333
148,24,0,"2019-2020",0.564285714285714,0.900318428571429
149,24,0,"2019-2020",8.58928571428571,6.01650428571429
150,24,0,"2019-2020",12.5535714285714,8.04996285714286
152,24,0,"2019-2020",10.0428571428571,2.20856614285714
155,24,0,"2019-2020",43.775,51.8458928571429
157,24,0,"2019-2020",5.45714285714286,3.24065714285714
159,24,0,"2019-2020",2.64285714285714,0.700475457142857
161,24,0,"2019-2020",18.65,10.9297035714286
163,24,0,"2019-2020",10.6785714285714,4.66909285714286
165,24,0,"2019-2020",7.46428571428571,4.60030357142857
166,24,0,"2019-2020",8.16785714285714,5.20136785714286
169,24,0,"2019-2020",15.4678571428571,10.2132392857143
171,24,0,"2019-2020",9.71785714285714,7.27672142857143
174,24,0,"2019-2020",3.16428571428571,2.74956742857143
177,24,0,"2019-2020",2.68571428571429,4.17349285714286
151,24,1,"2019-2020",13.8678571428571,9.35670714285714
153,24,1,"2019-2020",0.121428571428571,0.0730327428571429
154,24,1,"2019-2020",88.6107142857143,60.4013571428571
156,24,1,"2019-2020",16.7678571428571,11.4086821428571
158,24,1,"2019-2020",1.85357142857143,2.85470425
160,24,1,"2019-2020",17.8785714285714,3.48089535714286
162,24,1,"2019-2020",34.7,30.9815
164,24,1,"2019-2020",73.3285714285714,36.2183928571429
167,24,1,"2019-2020",21.4321428571429,19.01325
168,24,1,"2019-2020",6.52857142857143,4.12722285714286
170,24,1,"2019-2020",0.453571428571429,0.956755071428571
172,24,1,"2019-2020",10.9428571428571,10.9956535714286
173,24,1,"2019-2020",7.41428571428571,7.74047857142857
175,24,1,"2019-2020",18.6964285714286,22.3506785714286
176,24,1,"2019-2020",29.0142857142857,26.2310714285714
178,24,1,"2019-2020",9.85357142857143,6.86418214285714
1,48,0,"2013-2014",3.43448275862069,5.30648098275862
3,48,0,"2013-2014",25.34,10.6470224
4,48,0,"2013-2014",3.03333333333333,3.01470852333333
5,48,0,"2013-2014",31.9433333333333,26.432292
2,48,1,"2013-2014",20.41,18.8172466666667
6,48,1,"2014-2015",5.6,1.11271115
8,48,0,"2015-2016",16.6933333333333,11.4375923
